Shares Number,Volume,Net Income,Dividends,Employee Amount,Previous Close,Analysts,Price Target,Earnings Date
80.04M,"455,658",-258.54M,n/a,"8,509",53.15,Strong Buy,66.00,"Aug 8, 2024"
78.76M,"271,256",308.59M,$0.72,626,53.64,Buy,60.00,"Oct 22, 2024"
48.00M,"266,874",-308.55M,n/a,"1,653",87.99,Strong Buy,124.83,"Aug 5, 2024"
37.67M,"162,966",90.47M,$0.40,607,110.60,Buy,113.25,"Jul 30, 2024"
29.05M,"82,055",219.34M,n/a,"7,500",142.29,Buy,165.67,"Aug 6, 2024"
50.52M,"148,378",41.47M,n/a,"14,000",81.77,Buy,92.00,"Jul 30, 2024"
78.76M,"27,926",308.59M,$0.72,"2,115",47.80,n/a,n/a,"Oct 22, 2024"
51.93M,"509,002",-103.71M,n/a,875,79.34,Strong Buy,70.67,"Aug 1, 2024"
115.08M,"905,745",-34.08M,n/a,"22,012",35.00,Buy,37.31,"Aug 27, 2024"
32.02M,"84,424",141.51M,$3.00,48,125.66,Strong Buy,163.75,"Aug 6, 2024"
67.90M,"1,647,651",-546.50M,n/a,"3,121",59.17,Buy,58.36,"Aug 14, 2024"
24.43M,"178,053",-70.79M,n/a,"2,292",163.55,Buy,138.33,"Aug 7, 2024"
77.39M,"368,875",121.39M,n/a,"34,000",51.41,Buy,59.63,"Jul 31, 2024"
264.61M,"1,640,393",280.15M,$1.16,819,14.99,Buy,16.36,"Aug 5, 2024"
72.13M,"1,132,561",501.69M,$0.44,"8,427",54.49,Buy,65.56,"Sep 6, 2024"
234.26M,"1,827,975",52.28M,$1.20,"1,846",16.63,Strong Buy,16.56,"Aug 7, 2024"
155.25M,"2,071,398",660.34M,$1.18,"2,655",25.02,Strong Buy,23.80,"Aug 13, 2024"
62.19M,"322,559",403.95M,$1.32,"1,388",62.45,n/a,n/a,"Aug 1, 2024"
54.65M,"367,415",223.00M,n/a,"5,000",70.76,Sell,53.50,"Jul 29, 2024"
56.83M,"268,832",42.87M,$0.80,995,67.90,Buy,78.50,"Aug 6, 2024"
19.98M,"178,824",173.74M,n/a,130,192.43,n/a,n/a,"Aug 2, 2024"
32.29M,"344,788",-198.12M,n/a,"1,620",118.32,Buy,130.14,"Jul 24, 2024"
41.83M,"152,093",311.07M,$1.87,"1,716",90.89,n/a,n/a,"Aug 5, 2024"
89.51M,"6,605,845",-201.78M,n/a,"10,600",42.00,Sell,25.14,"Aug 6, 2024"
197.26M,"875,032",162.00M,$1.22,229,19.05,Buy,20.11,"Aug 2, 2024"
278.33M,"176,543",79.42M,$1.13,990,13.46,Hold,14.00,"Jul 30, 2024"
53.76M,"537,803",-53.89M,n/a,"2,917",69.38,Strong Buy,76.67,"Aug 8, 2024"
32.62M,"488,009",239.45M,n/a,352,114.22,Strong Buy,169.80,"Jul 31, 2024"
76.52M,"687,090",206.00M,n/a,,48.52,Buy,44.83,"Aug 1, 2024"
393.05M,"4,441,018",124.31M,$0.32,"3,000",9.31,Buy,14.59,"Jul 24, 2024"
68.21M,"159,215",-167.66M,n/a,579,53.59,Strong Buy,82.20,"Aug 1, 2024"
67.93M,"517,089",50.15M,$0.45,,53.68,Hold,49.81,"Aug 8, 2024"
216.69M,"1,890,720",-9.42M,n/a,"4,900",16.78,Hold,17.50,"Oct 8, 2024"
104.49M,"619,862",124.96M,n/a,557,34.79,Strong Buy,56.50,"Jul 29, 2024"
91.72M,"113,867",n/a,n/a,999,39.61,n/a,n/a,n/a
,,,,"1,779",,,,
30.73M,"149,796",162.45M,n/a,"1,008",118.10,Hold,115.00,"Aug 5, 2024"
94.00M,"734,373",713.17M,$7.20,"28,000",38.32,Buy,48.00,"Aug 15, 2024"
n/a,"72,820",n/a,n/a,"3,516",38.83,Strong Buy,56.00,n/a
,,,,481,,,,
302.09M,"1,127,432",-102.62M,n/a,445,11.95,Buy,19.47,"Jul 30, 2024"
303.51M,"5,124,738",-440.22M,n/a,"2,109",11.87,Strong Buy,24.80,"Aug 8, 2024"
301.64M,"33,528",-618.38M,n/a,797,11.89,Buy,14.00,"Aug 15, 2024"
123.02M,"4,311,586",-490.76M,n/a,264,29.02,Strong Buy,39.31,"Aug 7, 2024"
208.04M,"1,706,481",-103.33M,n/a,"3,400",17.15,Strong Buy,16.86,"Aug 15, 2024"
92.26M,"2,972,324",310.02M,n/a,"3,067",38.59,Hold,41.27,"Aug 21, 2024"
365.28M,"4,225,204",15.40M,n/a,"3,180",9.72,Hold,13.71,"Aug 5, 2024"
64.88M,"189,674",237.16M,$1.64,"4,383",54.69,Buy,51.86,"Aug 8, 2024"
143.17M,"885,838",-419.65M,n/a,517,24.77,Strong Buy,39.33,"Aug 1, 2024"
33.02M,"74,039",200.90M,$1.72,"25,000",107.06,Sell,93.50,"Oct 17, 2024"
51.12M,"209,520",-1.71M,n/a,"1,384",68.95,Hold,70.67,"Aug 1, 2024"
143.45M,"2,507,387",95.69M,n/a,"1,650",24.46,Strong Buy,33.60,"Aug 6, 2024"
181.91M,"1,195,793",283.03M,$0.68,"1,947",19.28,Hold,18.40,"Oct 15, 2024"
49.04M,"242,376",277.89M,$3.08,"3,872",71.45,Sell,58.50,"Oct 1, 2024"
676.74M,"100,977",-853.07M,n/a,"3,900",5.17,n/a,n/a,"Aug 28, 2024"
298.16M,"239,938",27.56M,n/a,"15,300",11.71,Strong Buy,14.43,"Aug 13, 2024"
296.59M,"1,073,663",-119.54M,n/a,613,11.76,Buy,16.71,"Aug 8, 2024"
27.23M,"107,289",110.86M,n/a,470,128.04,Buy,124.00,"Jul 24, 2024"
78.91M,"513,109",36.91M,$1.80,"1,146",44.16,Hold,46.67,"Jul 29, 2024"
496.64M,"13,236,191",-176.96M,n/a,450,6.96,Buy,6.58,"Aug 8, 2024"
47.38M,"244,465",45.79M,$3.94,"6,500",72.93,Buy,76.60,"Aug 8, 2024"
30.77M,"134,773",171.04M,n/a,"1,744",111.89,Strong Buy,103.00,"Aug 1, 2024"
151.00M,"956,490",10.00M,n/a,"4,030",22.77,Buy,23.50,"Aug 7, 2024"
203.24M,"2,499,273",201.62M,$1.00,382,16.90,Hold,20.30,"Aug 1, 2024"
13.55M,"70,594",69.18M,$3.52,124,252.40,Strong Buy,303.00,"Oct 17, 2024"
104.00M,"708,061",140.74M,$1.00,917,32.59,Strong Buy,44.25,"Aug 15, 2024"
52.76M,"243,384",70.54M,n/a,"9,385",64.67,Buy,63.50,"Aug 9, 2024"
25.13M,"227,358",278.34M,$1.60,"1,573",135.08,Hold,100.00,"Aug 1, 2024"
8.25M,"45,786",145.89M,n/a,"7,980",409.16,Strong Buy,423.50,"Aug 1, 2024"
202.62M,"1,286,714",442.59M,$0.44,"2,229",16.64,Buy,17.83,"Jul 25, 2024"
438.84M,"1,705,848",113.74M,$0.12,"4,200",7.65,Strong Buy,7.10,"Aug 7, 2024"
23.13M,"187,919",-93.60M,n/a,"5,000",144.75,Strong Buy,130.00,"Aug 7, 2024"
84.48M,"336,667",-153.74M,n/a,"2,345",39.49,Strong Buy,55.90,"Aug 6, 2024"
98.99M,"377,292",-51.94M,n/a,"1,246",33.70,Buy,33.89,"Jul 31, 2024"
59.08M,"201,685",170.33M,$1.00,"3,585",56.25,Buy,63.33,"Jul 23, 2024"
61.30M,"153,818",209.22M,$2.60,"1,150",54.04,Hold,52.86,"Jul 30, 2024"
46.33M,"414,520",96.05M,n/a,271,71.28,Buy,70.25,"Aug 8, 2024"
59.27M,"246,458",273.11M,$0.60,"19,000",55.37,Buy,61.33,"Oct 21, 2024"
72.62M,"436,673",179.61M,$0.84,"1,891",45.16,Buy,44.56,"Jul 31, 2024"
19.42M,"125,205",87.33M,$3.12,238,167.99,Strong Buy,200.00,"Aug 5, 2024"
194.40M,"2,508,732",-579.76M,n/a,"1,750",16.69,Buy,12.92,"Aug 21, 2024"
72.17M,"292,753",303.16M,$1.36,"2,170",44.84,Hold,43.00,"Oct 21, 2024"
104.55M,"352,847",252.60M,$1.88,"1,987",30.73,Hold,33.33,"Jul 25, 2024"
73.43M,"536,560",-32.02M,n/a,731,43.75,Strong Buy,47.75,"Aug 13, 2024"
100.14M,"742,607",146.66M,n/a,"6,180",31.96,Buy,38.86,"Oct 22, 2024"
32.74M,"308,340",91.98M,n/a,766,97.56,Hold,100.67,"Jul 24, 2024"
39.58M,"287,104",125.60M,n/a,"24,500",80.54,Strong Buy,107.18,"Aug 8, 2024"
79.67M,"351,302",348.50M,n/a,50,39.80,Buy,39.56,"Jul 30, 2024"
62.18M,"836,626",121.51M,n/a,131,50.83,Hold,58.90,"Aug 6, 2024"
166.59M,"1,768,009",-79.01M,n/a,694,18.96,Strong Buy,21.00,"Aug 7, 2024"
46.20M,"520,081",132.38M,n/a,"1,451",68.35,Hold,65.27,"Oct 17, 2024"
36.18M,"92,934",115.55M,$1.80,"2,000",87.24,Sell,71.00,"Aug 7, 2024"
44.23M,"141,041",140.68M,n/a,259,71.05,Hold,89.33,"Jul 30, 2024"
118.38M,"522,845",88.37M,$0.56,525,26.53,Buy,45.00,"Oct 17, 2024"
35.66M,"308,788",785.00M,n/a,"3,595",87.92,Buy,148.57,"Aug 5, 2024"
62.89M,"120,821",-54.80M,n/a,"24,600",49.77,Strong Buy,75.89,"Aug 7, 2024"
248.12M,"16,980,586",-161.90M,n/a,"13,121",12.61,Strong Buy,19.11,"Aug 9, 2024"
379.45M,"1,197,743",-58.68M,n/a,"9,000",8.23,Buy,9.34,"Aug 8, 2024"
67.39M,"259,312",145.52M,$0.74,305,46.05,Buy,56.50,"Jul 30, 2024"
127.89M,"353,261",221.86M,$1.04,187,24.26,Sell,23.57,"Jul 26, 2024"
75.76M,"167,014",-199.06M,n/a,"1,900",40.76,Strong Buy,58.67,"Aug 8, 2024"
124.32M,"588,440",-538.64M,n/a,"1,989",24.78,Buy,44.25,"Aug 8, 2024"
128.06M,"208,026",514.04M,$2.80,"7,100",24.05,Strong Buy,26.00,"Jul 29, 2024"
416.00M,"4,491,180",-268.00M,$0.28,"1,270",7.40,Hold,8.70,"Oct 25, 2024"
40.10M,"276,075",176.87M,n/a,"2,120",76.29,Buy,76.67,"Jul 25, 2024"
18.76M,"73,312",98.83M,$0.56,"10,000",163.09,Buy,159.75,"Aug 1, 2024"
74.24M,"799,880",-301.06M,n/a,"1,988",41.15,Strong Buy,66.60,"Aug 7, 2024"
63.76M,"449,101",-157.85M,n/a,"1,343",47.78,Buy,47.64,"Aug 7, 2024"
27.51M,"165,058",98.01M,n/a,"3,927",110.40,Strong Buy,122.00,"Jul 22, 2024"
49.25M,"262,820",107.93M,n/a,628,61.67,Buy,70.67,"Aug 8, 2024"
67.24M,"560,413",-1.86B,n/a,383,45.01,Hold,57.60,"Jul 31, 2024"
386.17M,"54,317",275.09M,$3.21,"23,333",62.23,Buy,94.00,"Jul 26, 2024"
81.22M,"362,746",174.48M,$1.04,"1,400",36.89,Buy,34.25,"Oct 15, 2024"
22.40M,"102,488",153.34M,$2.20,"2,400",132.43,Buy,131.33,"Aug 1, 2024"
854.44M,"55,838",-41.97M,n/a,"3,600",17.26,Buy,30.37,"Jul 31, 2024"
103.37M,"428,482",-48.86M,n/a,"2,400",28.72,Buy,29.25,"Aug 8, 2024"
66.74M,"324,667",-48.09M,n/a,"1,259",44.46,Buy,42.25,"Aug 6, 2024"
696.53M,"2,198,533",-597.65M,n/a,91,4.250,Hold,4.75,"Aug 12, 2024"
222.41M,"356,486",-30.43M,n/a,226,40.24,Strong Buy,39.71,n/a
149.59M,"2,465,469",-1.22B,n/a,"10,000",19.57,Buy,24.23,"Aug 8, 2024"
110.42M,"1,267,106",-48.07M,n/a,286,26.51,Strong Buy,36.19,"Aug 7, 2024"
65.46M,"799,305",-136.49M,n/a,"1,917",44.60,Strong Buy,52.15,"Aug 1, 2024"
371.98M,"741,254",214.80M,$0.40,"5,000",7.83,Buy,9.13,"Aug 7, 2024"
24.94M,"116,102",149.60M,$1.48,"3,563",113.69,n/a,n/a,"Aug 6, 2024"
120.49M,"1,164,599",-239.78M,n/a,"1,500",23.49,Buy,27.18,"Aug 8, 2024"
58.49M,"130,346",-118.49M,n/a,"1,240",48.36,Strong Buy,72.25,"Aug 12, 2024"
61.13M,"535,353",-260.73M,n/a,141,46.12,Strong Buy,55.83,"Aug 6, 2024"
27.61M,"172,470",545.00M,n/a,"5,950",100.90,Buy,134.27,"Jul 25, 2024"
258.22M,"8,438,207",-831.04M,n/a,771,10.76,Strong Buy,14.71,"Aug 7, 2024"
75.03M,"1,081,673",-1.09B,n/a,"1,240",36.91,Strong Buy,48.90,"Aug 27, 2024"
145.41M,"267,110",24.54M,n/a,"11,000",18.99,Buy,76.25,"Aug 8, 2024"
55.99M,"236,190",102.18M,n/a,"2,700",49.30,Buy,51.22,"Aug 1, 2024"
60.76M,"312,022",-999.00M,n/a,"2,167",45.37,Hold,49.78,"Aug 7, 2024"
61.97M,"21,080",-60.57M,n/a,"1,204",46.24,Strong Buy,53.50,"Aug 8, 2024"
602.80M,"4,624,280",-219.55M,n/a,"1,787",4.540,Strong Buy,6.93,"Aug 8, 2024"
62.17M,"353,197",115.31M,$0.50,"3,007",43.69,Buy,45.04,"Aug 1, 2024"
508.37M,"2,268,586",-12.32M,n/a,"6,300",5.34,Buy,7.07,"Aug 7, 2024"
61.97M,"171,081",-60.57M,n/a,"1,089",43.74,Strong Buy,53.50,"Aug 8, 2024"
30.30M,"174,956",123.94M,$1.15,677,89.30,Strong Buy,90.00,"Jul 10, 2024"
195.14M,"1,106,108",-103.85M,n/a,598,13.78,Buy,22.78,"Jul 31, 2024"
381.82M,"2,236,332",101.25M,n/a,"6,547",7.03,Strong Buy,8.25,"Aug 7, 2024"
24.55M,"63,723",115.85M,$1.90,386,109.13,Buy,116.00,"Jul 25, 2024"
42.48M,"230,846",214.71M,$2.28,"1,055",62.99,Hold,56.67,"Oct 17, 2024"
125.55M,"405,521",150.79M,$0.84,"15,000",21.30,Hold,21.75,"Jul 24, 2024"
67.42M,"149,169",144.98M,n/a,975,39.63,Strong Buy,53.00,"Aug 7, 2024"
23.50M,"149,792",194.76M,n/a,934,112.85,Hold,114.40,"Jul 30, 2024"
205.07M,"3,507,134",242.32M,$0.40,213,12.90,Buy,29.00,"Aug 9, 2024"
165.88M,"1,665,968",30.57M,n/a,"7,850",15.94,Buy,26.44,"Aug 6, 2024"
35.16M,"215,303",74.76M,n/a,"4,137",75.14,Hold,69.40,"Aug 8, 2024"
56.89M,"253,693",-364.93M,n/a,"3,093",46.22,Buy,51.33,"Aug 1, 2024"
76.92M,"426,460",-479.52M,n/a,534,34.15,Hold,36.29,"Aug 8, 2024"
23.65M,"150,343",128.32M,$0.48,"1,366",111.06,Buy,145.70,"Aug 2, 2024"
87.19M,"971,737",178.73M,$0.96,757,30.09,Buy,26.94,"Jul 18, 2024"
20.90M,"93,378",80.81M,$0.72,919,125.18,Strong Buy,96.00,"Jul 31, 2024"
26.21M,"102,735",96.44M,n/a,"6,423",99.04,Buy,101.33,"Aug 5, 2024"
309.54M,"1,018,792",-174.62M,n/a,"2,165",8.38,Strong Buy,8.60,"Aug 9, 2024"
31.79M,"62,778",226.50M,n/a,"2,700",81.50,n/a,n/a,"Aug 6, 2024"
7.67M,"48,352",49.55M,n/a,"2,800",336.70,Buy,323.50,"Jul 30, 2024"
303.52M,"13,750,404",86.73M,n/a,"1,107",8.50,Strong Buy,17.05,"Jul 31, 2024"
116.16M,"765,594",34.75M,$1.78,"1,900",22.20,Hold,21.71,"Aug 1, 2024"
48.96M,"495,507",204.28M,n/a,"2,784",52.26,Buy,55.00,"Jul 25, 2024"
58.59M,"510,754",-220.31M,n/a,"71,000",43.66,Strong Buy,48.22,"Aug 2, 2024"
17.05M,"174,698",128.15M,n/a,"2,900",150.00,Strong Buy,172.67,"Aug 22, 2024"
95.48M,"291,182",231.29M,$0.96,"1,112",26.77,Hold,27.33,"Oct 22, 2024"
90.82M,"312,666",-155.20M,n/a,"1,300",28.12,Buy,26.44,"Aug 6, 2024"
178.82M,"626,484",-58.94M,n/a,"1,345",14.26,Buy,19.27,"Aug 14, 2024"
139.68M,"1,068,105",203.58M,$0.80,"2,684",18.19,Hold,20.00,"Jul 24, 2024"
26.58M,"107,217",109.27M,n/a,216,95.51,Hold,90.00,"Aug 6, 2024"
73.97M,"211,420",151.21M,$1.00,"1,102",34.31,Hold,30.00,"Jul 24, 2024"
284.69M,"3,243,777",-352.00M,n/a,61,8.89,Strong Buy,17.23,"Jul 31, 2024"
54.30M,"303,333",-16.59M,n/a,"2,284",46.60,Buy,65.83,"Jul 31, 2024"
128.99M,"2,044,828",-21.86M,n/a,160,19.58,Strong Buy,27.47,"Aug 7, 2024"
58.27M,"937,090",-57.05M,n/a,815,43.34,Buy,62.00,"Jul 30, 2024"
96.42M,"371,184",-2.22M,$1.32,112,26.18,Buy,26.50,"Oct 22, 2024"
74.74M,"1,732,792",-52.67M,n/a,38,33.77,Strong Buy,63.35,"Aug 8, 2024"
118.83M,"2,092,532",264.30M,$2.80,901,21.23,Strong Buy,30.00,"Aug 7, 2024"
119.56M,"574,567",14.93M,n/a,"20,209",20.86,Buy,24.50,"Aug 8, 2024"
67.08M,"594,008",-72.33M,n/a,"1,300",37.02,Strong Buy,64.00,"Aug 8, 2024"
42.78M,"241,091",73.26M,$0.70,314,57.80,Buy,63.50,"Sep 24, 2024"
66.29M,"478,853",-150.22M,n/a,"2,228",37.17,Buy,68.50,"Aug 8, 2024"
76.81M,"485,458",-54.04M,n/a,167,32.00,Buy,29.75,"Aug 6, 2024"
58.90M,"355,342",169.95M,n/a,"4,248",41.68,Strong Buy,45.50,"Aug 6, 2024"
200.03M,"1,251,096",186.48M,$1.20,"3,500",12.24,Hold,15.50,"Aug 28, 2024"
287.11M,"525,097",132.78M,n/a,526,8.52,Hold,13.95,"Aug 14, 2024"
440.42M,"1,545,993",-185.63M,n/a,"1,970",5.51,Strong Buy,9.85,"Aug 13, 2024"
103.78M,"1,575,046",-17.20M,n/a,"1,517",23.36,Buy,43.23,"Jul 29, 2024"
49.03M,"350,960","789,000",n/a,64,49.29,Strong Buy,54.86,"Aug 1, 2024"
62.73M,"372,013",-46.11M,n/a,"34,846",38.49,Buy,47.67,"Aug 6, 2024"
118.69M,"770,733",68.15M,n/a,"10,600",20.32,Strong Buy,29.50,"Aug 7, 2024"
137.60M,"628,526",135.23M,$0.15,"6,300",17.52,Strong Buy,27.79,"Aug 29, 2024"
48.92M,"746,690",-155.81M,n/a,"2,877",49.24,Buy,67.00,"Aug 6, 2024"
101.58M,"764,940",-508.80M,n/a,"6,422",23.63,Buy,61.58,"Aug 8, 2024"
42.88M,"248,826",61.13M,$1.20,"9,325",55.89,Buy,45.60,"Jul 30, 2024"
41.44M,"129,057",-420.11M,$1.52,"1,800",57.82,Buy,59.14,"Oct 21, 2024"
52.16M,"152,663",-44.05M,n/a,"2,767",45.92,Strong Buy,64.00,"Aug 7, 2024"
17.90M,"123,755",68.90M,n/a,"7,000",133.58,Buy,128.29,"Aug 5, 2024"
164.08M,"473,359",-761.68M,n/a,"28,900",14.50,Buy,17.96,"Aug 1, 2024"
67.42M,"299,982",144.98M,n/a,"13,809",34.26,Strong Buy,45.75,"Aug 7, 2024"
54.51M,"333,150",-57.77M,$0.80,"1,761",43.57,Buy,47.33,"Aug 7, 2024"
24.38M,"80,104",117.19M,$2.40,"1,541",97.39,Strong Buy,121.50,"Jul 31, 2024"
382.62M,"2,197,316",-150.92M,n/a,333,6.18,Hold,8.25,"Aug 8, 2024"
49.08M,"311,815",68.42M,n/a,"2,034",48.12,Strong Buy,62.00,"Aug 7, 2024"
127.64M,"307,475",-89.47M,n/a,"2,363",18.50,Strong Buy,23.71,"Aug 7, 2024"
171.84M,"1,193,059",44.52M,$0.12,"15,000",13.73,Buy,13.83,"Aug 2, 2024"
152.55M,"555,082",195.40M,n/a,93,15.31,Buy,18.50,"Aug 1, 2024"
61.81M,"339,566",63.05M,$0.56,"2,243",37.77,Hold,38.43,"Jul 30, 2024"
48.68M,"334,833",166.52M,n/a,"2,162",47.95,Buy,63.00,"Aug 7, 2024"
84.54M,"270,108",117.21M,$0.72,"4,788",27.60,Hold,27.90,"Jul 25, 2024"
28.50M,"46,267",86.23M,$0.20,374,81.38,n/a,n/a,"Jul 31, 2024"
47.17M,"159,023",121.59M,$1.36,"2,596",49.12,Buy,41.20,"Oct 22, 2024"
11.99M,"383,686",130.23M,$1.06,"1,200",192.78,n/a,n/a,"Jul 30, 2024"
25.07M,"80,361",173.68M,n/a,"7,600",92.19,Strong Buy,116.50,"Jul 31, 2024"
57.20M,"368,338",-100.44M,n/a,500,39.79,Buy,81.33,"Aug 8, 2024"
72.35M,"291,903",-108.77M,n/a,"7,500",31.45,Hold,38.75,"Aug 1, 2024"
58.51M,"266,464",184.84M,$1.40,"2,000",38.42,Buy,44.50,"Jul 25, 2024"
959.66M,"11,222,344",229.28M,n/a,79,2.340,Hold,91.33,"Aug 22, 2024"
39.68M,"309,793",-36.77M,n/a,"1,510",56.45,Strong Buy,60.14,"Aug 5, 2024"
59.41M,"489,434",-137.64M,n/a,342,37.49,Sell,30.00,"Aug 13, 2024"
125.26M,"760,849",-8.17M,n/a,"1,546",17.58,Strong Buy,26.54,"Aug 6, 2024"
88.14M,"1,042,419",185.93M,$1.04,"1,215",24.98,Hold,29.33,"Aug 28, 2024"
280.97M,"3,685,320",-374.93M,n/a,"35,000",7.81,Buy,12.67,"Aug 8, 2024"
127.78M,"902,573",-1.02B,n/a,51,17.14,Buy,25.86,"Aug 7, 2024"
31.24M,"404,057",-131.59M,n/a,"1,391",70.01,Strong Buy,120.78,"Aug 1, 2024"
81.24M,"655,766",-125.45M,n/a,"2,100",26.88,Strong Buy,36.00,"Aug 8, 2024"
288.68M,"87,682",-116.80M,n/a,,7.51,Strong Buy,11.83,"Aug 8, 2024"
56.87M,"293,717",87.42M,n/a,,38.04,Buy,53.17,"Aug 7, 2024"
33.68M,"117,690",78.52M,$2.00,618,64.07,Buy,85.89,"Aug 1, 2024"
56.78M,"403,372",83.01M,n/a,436,38.00,Buy,45.57,"Aug 6, 2024"
171.46M,"686,291",-163.04M,n/a,"2,110",12.57,Strong Buy,15.35,"Aug 2, 2024"
54.83M,"197,316",-107.85M,n/a,"15,800",39.30,Strong Buy,42.43,"Aug 8, 2024"
160.89M,"731,622",-78.68M,n/a,"10,200",13.29,Hold,17.79,"Aug 6, 2024"
128.16M,"549,120",-78.55M,n/a,"4,200",16.66,Strong Buy,19.70,"Jul 29, 2024"
212.20M,"72,469",n/a,n/a,246,9.80,n/a,n/a,n/a
,,,,"47,900",,,,
417.76M,"3,339,470",142.52M,$0.72,"15,000",5.080,Sell,5.38,"Sep 3, 2024"
,,,,"3,650",,,,
45.76M,"128,169",286.84M,$0.36,630,46.37,Buy,57.00,"Jul 29, 2024"
79.06M,"643,437",-143.01M,n/a,"2,800",26.81,Buy,44.11,"Aug 6, 2024"
30.48M,"121,851",115.86M,n/a,"1,150",68.88,n/a,n/a,"Jul 31, 2024"
101.95M,"557,859",17.09M,n/a,915,20.49,Strong Buy,24.31,"Jul 31, 2024"
69.83M,"492,814",82.30M,$0.75,"1,966",29.85,Hold,25.00,"Sep 19, 2024"
44.74M,"520,220",79.99M,n/a,"2,757",46.45,Buy,71.50,"Aug 7, 2024"
56.83M,"184,623",114.99M,n/a,"7,449",36.36,Buy,41.67,"Aug 6, 2024"
50.87M,"1,094,264",116.26M,$1.08,"3,700",40.61,Hold,39.69,"Jul 31, 2024"
179.25M,"409,676",75.00M,$0.40,"2,845",11.52,Strong Buy,14.57,"Jul 31, 2024"
45.99M,"322,980",-20.76M,n/a,"2,114",44.80,Buy,36.17,"Aug 1, 2024"
22.47M,"109,709",37.68M,$0.64,"5,000",91.67,Buy,85.40,"Aug 1, 2024"
100.19M,"895,290",119.54M,$0.84,"2,543",20.50,Hold,20.90,"Aug 20, 2024"
36.87M,"1,560,206",49.82M,$0.40,"1,468",55.47,Strong Buy,51.00,"Aug 26, 2024"
40.99M,"829,151",-171.45M,n/a,705,49.87,Buy,70.92,"Aug 27, 2024"
34.46M,"193,987",165.83M,$1.92,911,59.15,Buy,54.00,"Oct 16, 2024"
61.21M,"182,470",185.52M,$0.92,287,33.18,Hold,34.80,"Jul 23, 2024"
59.32M,"367,848",366.87M,$1.73,71,34.23,Hold,35.00,"Aug 27, 2024"
61.71M,"439,122",29.76M,n/a,"18,000",32.89,Buy,36.50,"Sep 4, 2024"
138.64M,"1,399,570",24.00M,n/a,"1,221",14.60,Hold,19.93,"Aug 6, 2024"
153.73M,"609,860",-23.10M,$0.20,48,13.11,Hold,13.50,"Jul 31, 2024"
55.84M,"52,432",68.82M,$0.57,566,36.08,Buy,41.67,"Aug 1, 2024"
186.72M,"749,702",-14.47M,n/a,"1,142",10.79,Buy,12.75,"Aug 8, 2024"
23.31M,"85,753",26.12M,n/a,264,86.25,Sell,71.00,"Oct 17, 2024"
21.99M,"143,950",95.99M,$0.48,"2,849",91.10,Strong Buy,117.33,"Aug 1, 2024"
141.15M,"1,004,947",-5.40M,n/a,297,14.16,Strong Buy,17.39,"Aug 7, 2024"
117.83M,"6,059",57.19M,n/a,"1,453",16.24,Buy,18.75,"Aug 7, 2024"
127.45M,"467,401",34.36M,$0.60,"1,415",15.51,Hold,14.38,"Oct 22, 2024"
89.60M,"1,235,950",-286.10M,n/a,"3,868",22.03,Hold,26.70,"Aug 12, 2024"
37.37M,"113,472",171.29M,$1.08,"2,321",52.81,Strong Buy,50.75,"Jul 22, 2024"
127.38M,"149,183",152.17M,$0.16,652,15.47,Buy,24.10,"Aug 5, 2024"
90.28M,"910,736",62.75M,n/a,"16,422",21.80,Buy,30.17,"Aug 6, 2024"
42.16M,"636,237",-18.91M,n/a,"1,543",46.63,Buy,36.17,"Aug 8, 2024"
47.71M,"297,747",-109.16M,n/a,"2,100",41.12,Strong Buy,55.77,"Aug 7, 2024"
130.34M,"967,411",-85.96M,n/a,56,15.01,Buy,15.90,"Aug 7, 2024"
71.24M,"254,742",-10.23M,n/a,"3,801",27.38,Buy,32.00,"Jul 23, 2024"
108.22M,"439,922",-168.70M,n/a,58,18.02,Hold,25.80,"Jul 25, 2024"
24.21M,"326,537",18.57M,n/a,"5,268",80.30,Buy,78.58,"Jul 24, 2024"
879.64M,"25,404,526",-1.48B,n/a,10,2.200,Hold,5.40,"Aug 8, 2024"
59.59M,"236,354",126.30M,$1.44,880,32.46,Hold,32.25,"Jul 26, 2024"
55.11M,"217,336",5.24M,n/a,"2,703",34.97,Buy,41.00,"Aug 6, 2024"
70.24M,"18,267",-2.99B,n/a,"1,383",27.37,Strong Buy,35.00,"Aug 8, 2024"
160.09M,"3,193,186",-294.33M,n/a,"2,377",11.99,Buy,15.80,"Aug 8, 2024"
184.25M,"93,346",-43.65M,n/a,124,10.41,Buy,11.45,"Aug 6, 2024"
69.43M,"480,510",-204.18M,n/a,774,27.46,Strong Buy,41.43,"Aug 9, 2024"
196.22M,"808,721",6.04M,n/a,561,9.67,Strong Buy,11.92,"Aug 6, 2024"
18.27M,"116,646",42.14M,n/a,"3,600",103.82,Strong Buy,131.00,"Aug 6, 2024"
243.31M,"1,538,802",322.09M,n/a,"10,600",7.77,Buy,12.41,"Aug 22, 2024"
382.60M,"12,429,878",-51.24M,n/a,"3,988",4.930,Strong Buy,5.65,"Aug 12, 2024"
161.36M,"504,282",2.85M,n/a,"10,600",11.68,Buy,16.63,"Aug 1, 2024"
26.29M,"83,281",88.69M,$0.40,"12,970",71.46,n/a,n/a,"Jul 31, 2024"
57.08M,"415,208",-73.56M,n/a,"7,600",32.91,Buy,51.79,"Aug 1, 2024"
